N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,0,0.0001953125,4,46,1035,1035,0.0024700568430310013,2.12,improved
8,0,0.0001953125,4,48,1180,1180,0.00247096137784114,2.17,improved
8,0,0.0001953125,4,50,1325,1325,0.0024717946796045205,2.18,improved
8,0,0.0001953125,4,52,1495,1495,0.0024725648375766222,2.25,improved
8,0,0.0001953125,4,54,1665,1665,0.0024732787657251562,2.37,improved
8,0,0.0001953125,4,56,1862,1862,0.002473942404457944,2.45,improved
8,0,0.0001953125,4,58,2059,2059,0.002474560877742541,2.56,improved
8,0,0.0001953125,4,60,2285,2285,0.002475138642857734,2.7,improved
8,0,0.0001953125,4,62,2511,2511,0.002475679589102694,2.71,improved
8,0,0.0001953125,4,64,2768,2768,0.002476187122296168,2.89,improved
8,0,0.0001953125,4,66,3025,3025,0.0024766642388026994,3.0,improved
8,0,0.0001953125,4,68,3315,3315,0.002477113591621128,3.22,improved
8,0,0.0001953125,4,70,3605,3605,0.0024775375354404603,4.09,improved
