# M^2 of the ground state on an (m/g, K) grid, for all five Table I channels.
#
# Written for the weak-coupling analysis in docs/weak-coupling-limit.md, which
# needs a finer m/g grid than Table I's and a longer reach in m/g than the
# (m/g)^2 limit form survives.  Two things it supports that Table I's own
# couplings cannot:
#
#   * the chiral end (m/g = 0.025-0.2), where the joint (m/g, K) fit is scored
#     and where it puts the per-coupling Eq. (27) values 1-2 sigma high;
#   * the heavy end (m/g up to 24, mes N=2 and bar N=3 only), which is what
#     confirms the free-quark limit R = M^2/(m^2+g^2/pi) -> n_q^2 that the
#     rational limit form imposes.  Measured R/n_q^2 at 2K=68: 1.0060 (mes N=2)
#     and 1.0096 (bar N=3) at m/g = 24.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# LPN is the Table I truncation, figures.sweep_lpn(N, B).
# Grid: 2K = 25..69 at the parity each channel requires, so K_code steps by 2.
#
# Superset of data/joint_fit_msq.csv, which is kept because tools/joint_fit.py
# takes it by name.  The 120 overlapping bar N=3 cells agree to 1.6e-14
# relative -- 74 of them bit-identically, the rest differing in the last digit
# or two, since a sparse Lanczos solve is not bit-reproducible across runs.
# That is ten orders of magnitude below the 1e-4 reproducibility floor of the
# original algorithm (docs/basis-dependence.md).
#
# Regenerate a superset (this is a reduction of large_k_sweep's nine columns):
#   python tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 69 \
#       --mg 0.025 0.05 0.075 0.1 0.15 0.2 0.3 0.4 0.6 0.8 1.2 1.6 \
#       --lpn <sweep_lpn(N,B)> --nev 12
# --nev 12 is verified to give the identical ground state to a full solve
# (0.3012878408 at mes N=2, 2K=68, m/g=0.1).
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 0.025, 0.05, 0.075, 0.1, 0.15, 0.2, 0.3, 0.4, 0.6, 0.8, 1.2, 1.6, 3.0, 6.0, 12.0, 24.0
# 1446 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,3,0,1.2,4,30,4.545302454797012
mes,3,0,1.2,4,32,4.550075178147956
mes,3,0,1.2,4,34,4.554306066681924
mes,3,0,1.2,4,36,4.5580828719038875
mes,3,0,1.2,4,38,4.561475303517135
mes,3,0,1.2,4,40,4.564539451419495
mes,3,0,1.2,4,42,4.567320965223936
mes,3,0,1.2,4,44,4.5698573810599
mes,3,0,1.2,4,46,4.572179851476838
mes,3,0,1.2,4,48,4.574314450045916
mes,3,0,1.2,4,50,4.576283168027992
mes,3,0,1.2,4,52,4.578104684818438
mes,3,0,1.2,4,54,4.579794969972878
mes,3,0,1.2,4,56,4.581367758314323
mes,3,0,1.2,4,58,4.582834928318971
mes,3,0,1.2,4,60,4.584206806026672
mes,3,0,1.2,4,62,4.58549241105593
mes,3,0,1.2,4,64,4.586699657209448
mes,3,0,1.2,4,66,4.587835517168288
mes,3,0,1.2,4,68,4.588906158565081
mes,3,0,0.8,4,26,4.218024255938372
mes,3,0,0.8,4,28,4.228805640173136
mes,3,0,0.8,4,30,4.238258992960557
mes,3,0,0.8,4,32,4.246619473786587
mes,3,0,0.8,4,34,4.254069298167785
mes,3,0,0.8,4,36,4.260751934079577
mes,3,0,0.8,4,38,4.266781943436146
mes,3,0,0.8,4,40,4.272251956292333
mes,3,0,0.8,4,42,4.277237710287122
mes,3,0,0.8,4,44,4.281801755801829
mes,3,0,0.8,4,46,4.2859962228506925
mes,3,0,0.8,4,48,4.289864916535401
mes,3,0,0.8,4,50,4.293444924348488
mes,3,0,0.8,4,52,4.296767863442118
mes,3,0,0.8,4,54,4.299860858847951
mes,3,0,0.8,4,56,4.302747318210362
mes,3,0,0.8,4,58,4.305447550907025
mes,3,0,0.8,4,60,4.307979266949378
mes,3,0,0.8,4,62,4.310357982121641
mes,3,0,0.8,4,64,4.3125973493527185
mes,3,0,0.8,4,66,4.3147094315721715
mes,3,0,0.8,4,68,4.316704927796796
mes,3,0,0.6,4,26,3.6876399682521486
mes,3,0,0.6,4,28,3.7036670478990112
mes,3,0,0.6,4,30,3.7178356756371014
mes,3,0,0.6,4,32,3.7304625226368673
mes,3,0,0.6,4,34,3.7417949202717535
mes,3,0,0.6,4,36,3.7520290554128075
mes,3,0,0.6,4,38,3.7613226813476865
mes,3,0,0.6,4,40,3.7698041903440838
mes,3,0,0.6,4,42,3.777579213698186
mes,3,0,0.6,4,44,3.784735505255011
mes,3,0,0.6,4,46,3.791346610272619
mes,3,0,0.6,4,48,3.7974746598849705
mes,3,0,0.6,4,50,3.8031725262608167
mes,3,0,0.6,4,52,3.8084855037072094
mes,3,0,0.6,4,54,3.813452633700529
mes,3,0,0.6,4,56,3.8181077592894033
mes,3,0,0.6,4,58,3.8224803715671736
mes,3,0,0.6,4,60,3.826596294778702
mes,3,0,0.6,4,62,3.8304782450287735
mes,3,0,0.6,4,64,3.8341462891298805
mes,3,0,0.6,4,66,3.83761822391619
mes,3,0,0.6,4,68,3.8409098917386246
mes,3,0,0.4,4,26,2.5961761595267934
mes,3,0,0.4,4,28,2.616799118340538
mes,3,0,0.4,4,30,2.635347375558044
mes,3,0,0.4,4,32,2.6521435832412537
mes,3,0,0.4,4,34,2.667444370291051
mes,3,0,0.4,4,36,2.681456755247636
mes,3,0,0.4,4,38,2.6943498308373006
mes,3,0,0.4,4,40,2.706263250804613
mes,3,0,0.4,4,42,2.7173135047606354
mes,3,0,0.4,4,44,2.7275986318797862
mes,3,0,0.4,4,46,2.737201812793766
mes,3,0,0.4,4,48,2.7461941422251086
mes,3,0,0.4,4,50,2.754636794470059
mes,3,0,0.4,4,52,2.762582732881148
mes,3,0,0.4,4,54,2.770078072667108
mes,3,0,0.4,4,56,2.7771631771580383
mes,3,0,0.4,4,58,2.7838735470305482
mes,3,0,0.4,4,60,2.790240547171539
mes,3,0,0.4,4,62,2.7962920050889704
mes,3,0,0.4,4,64,2.802052706859284
mes,3,0,0.4,4,66,2.8075448107178493
mes,3,0,0.4,4,68,2.8127881939782013
mes,3,0,0.3,4,26,1.8060512148326098
mes,3,0,0.3,4,28,1.8248554634580056
mes,3,0,0.3,4,30,1.8419557864844014
mes,3,0,0.3,4,32,1.8576015408865973
mes,3,0,0.3,4,34,1.8719931505859442
