# M^2 of the ground state under the IMPROVED Hamiltonian -- van de Sande's
# endpoint subtraction, hep-ph/9605409 -- on Table I's own grid.
#
# The companion to data/chiral_grid_msq.csv, which holds the same grid under the
# standard Hamiltonian.  Together they are what docs/weak-coupling-limit.md
# compares.  Generated with:
#
#   tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 71 \
#       --mg 1.6 0.8 0.4 0.2 0.1 0.05 --lpn <sweep_lpn(N,B)> --nev 12 \
#       --hamiltonian improved
#
# LPN is the Table I truncation, sweep_lpn(N,B) = valence+2, so these are the
# Fock-extended sectors the published table uses -- not the valence sectors
# where the construction has an exact anchor.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# Extrapolate these in a PLAIN 1/K series (van de Sande Eq. 14).  Do NOT admit
# K^-2b powers: that column is near-degenerate with the intercept at small b and
# corrupts it -- measured, see docs/weak-coupling-limit.md.
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 1.6, 0.8, 0.4, 0.2, 0.1, 0.05
# 696 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,3,0,1.6,4,34,4.600118158539367
mes,3,0,1.6,4,36,4.600978914397693
mes,3,0,1.6,4,38,4.601750489843546
mes,3,0,1.6,4,40,4.60244520865793
mes,3,0,1.6,4,42,4.603074923197869
mes,3,0,1.6,4,44,4.603647674575579
mes,3,0,1.6,4,46,4.604171547745141
mes,3,0,1.6,4,48,4.60465200578678
mes,3,0,1.6,4,50,4.605094766051203
mes,3,0,1.6,4,52,4.605503664706779
mes,3,0,1.6,4,54,4.605882866966592
mes,3,0,1.6,4,56,4.606235141730478
mes,3,0,1.6,4,58,4.606563600356141
mes,3,0,1.6,4,60,4.606870288511974
mes,3,0,1.6,4,62,4.607157580521473
mes,3,0,1.6,4,64,4.6074270182471055
mes,3,0,1.6,4,66,4.607680447319435
mes,3,0,1.6,4,68,4.607919050208392
mes,3,0,1.6,4,70,4.6081442848748875
mes,3,0,0.8,4,26,4.387304854066222
mes,3,0,0.8,4,28,4.387208685703608
mes,3,0,0.8,4,30,4.387153605053299
mes,3,0,0.8,4,32,4.387113078515777
mes,3,0,0.8,4,34,4.387097270690368
mes,3,0,0.8,4,36,4.3870883608583595
mes,3,0,0.8,4,38,4.387094889520206
mes,3,0,0.8,4,40,4.3871043344878204
mes,3,0,0.8,4,42,4.3871236941222405
mes,3,0,0.8,4,44,4.387143842574157
mes,3,0,0.8,4,46,4.387170486849156
mes,3,0,0.8,4,48,4.387196774228439
mes,3,0,0.8,4,50,4.387227373259802
mes,3,0,0.8,4,52,4.387257008280819
mes,3,0,0.8,4,54,4.3872895229464595
mes,3,0,0.8,4,56,4.387320769365984
mes,3,0,0.8,4,58,4.387353936468629
mes,3,0,0.8,4,60,4.387385703933543
mes,3,0,0.8,4,62,4.387418738771253
mes,3,0,0.8,4,64,4.387450341587813
mes,3,0,0.8,4,66,4.387482760566264
mes,3,0,0.8,4,68,4.387513771278317
mes,3,0,0.8,4,70,4.387545283241598
mes,3,0,0.4,4,26,3.1386117036066796
mes,3,0,0.4,4,28,3.1377491101526145
mes,3,0,0.4,4,30,3.1369672221470064
mes,3,0,0.4,4,32,3.136227220539966
mes,3,0,0.4,4,34,3.1355546154270826
mes,3,0,0.4,4,36,3.1349182275649805
mes,3,0,0.4,4,38,3.1343368941668097
mes,3,0,0.4,4,40,3.133785954758576
mes,3,0,0.4,4,42,3.133279903238168
mes,3,0,0.4,4,44,3.132799182019278
mes,3,0,0.4,4,46,3.1323552602362605
mes,3,0,0.4,4,48,3.1319324886732876
mes,3,0,0.4,4,50,3.1315401329513466
mes,3,0,0.4,4,52,3.1311655347700347
mes,3,0,0.4,4,54,3.130816302451252
mes,3,0,0.4,4,56,3.130482082708826
mes,3,0,0.4,4,58,3.130169207070848
mes,3,0,0.4,4,60,3.129869116585638
mes,3,0,0.4,4,62,3.1295871402483417
mes,3,0,0.4,4,64,3.1293161313065516
mes,3,0,0.4,4,66,3.1290606191494654
mes,3,0,0.4,4,68,3.128814580721527
mes,3,0,0.4,4,70,3.1285818991321164
mes,3,0,0.2,4,26,1.6741523431661398
mes,3,0,0.2,4,28,1.673464917212123
mes,3,0,0.2,4,30,1.6727932699869608
mes,3,0,0.2,4,32,1.6721252363805341
mes,3,0,0.2,4,34,1.6714831298853106
mes,3,0,0.2,4,36,1.670853409041336
mes,3,0,0.2,4,38,1.670251688988207
mes,3,0,0.2,4,40,1.669665330184392
mes,3,0,0.2,4,42,1.6691059505868888
mes,3,0,0.2,4,44,1.668562404153148
mes,3,0,0.2,4,46,1.668043713655761
mes,3,0,0.2,4,48,1.6675402515213895
mes,3,0,0.2,4,50,1.6670592456955906
mes,3,0,0.2,4,52,1.6665924335963267
mes,3,0,0.2,4,54,1.6661457413369711
mes,3,0,0.2,4,56,1.6657120782685926
mes,3,0,0.2,4,58,1.665296391282964
mes,3,0,0.2,4,60,1.6648925775498713
mes,3,0,0.2,4,62,1.6645048262488094
mes,3,0,0.2,4,64,1.6641278618933801
mes,3,0,0.2,4,66,1.6637652740238966
mes,3,0,0.2,4,68,1.6634124797120022
mes,3,0,0.2,4,70,1.6630725852260522
mes,3,0,0.1,4,26,0.8023173684210413
mes,3,0,0.1,4,28,0.8020082288051911
mes,3,0,0.1,4,30,0.8016832897035489
mes,3,0,0.1,4,32,0.8013453630526958
mes,3,0,0.1,4,34,0.8010054791200071
mes,3,0,0.1,4,36,0.800662836884133
mes,3,0,0.1,4,38,0.8003245758293479
mes,3,0,0.1,4,40,0.7999885382772365
mes,3,0,0.1,4,42,0.7996597060282642
mes,3,0,0.1,4,44,0.7993354993182809
mes,3,0,0.1,4,46,0.7990196025568915
mes,3,0,0.1,4,48,0.7987094101988328
mes,3,0,0.1,4,50,0.7984077721876485
mes,3,0,0.1,4,52,0.7981122211593641
mes,3,0,0.1,4,54,0.7978250393558983
mes,3,0,0.1,4,56,0.797543957647358
mes,3,0,0.1,4,58,0.7972708535927576
mes,3,0,0.1,4,60,0.7970036693402682
mes,3,0,0.1,4,62,0.7967439825901141
mes,3,0,0.1,4,64,0.7964899390207588
mes,3,0,0.1,4,66,0.7962428869099989
mes,3,0,0.1,4,68,0.7960011592593357
mes,3,0,0.1,4,70,0.7957659240876858
mes,3,0,0.05,4,26,0.3842461438023174
mes,3,0,0.05,4,28,0.3842006204698741
mes,3,0,0.05,4,30,0.38413286363247856
mes,3,0,0.05,4,32,0.3840481285999495
mes,3,0,0.05,4,34,0.3839520579255364
mes,3,0,0.05,4,36,0.38384707695400844
mes,3,0,0.05,4,38,0.3837365940034511
mes,3,0,0.05,4,40,0.383621664397239
mes,3,0,0.05,4,42,0.38350448577689983
mes,3,0,0.05,4,44,0.3833854208410238
mes,3,0,0.05,4,46,0.38326596685197056
mes,3,0,0.05,4,48,0.3831461286830443
mes,3,0,0.05,4,50,0.38302697560288174
mes,3,0,0.05,4,52,0.3829083280774536
mes,3,0,0.05,4,54,0.3827909812530264
mes,3,0,0.05,4,56,0.38267466411500056
mes,3,0,0.05,4,58,0.3825599889057161
mes,3,0,0.05,4,60,0.3824466440237797
mes,3,0,0.05,4,62,0.3823351151732564
mes,3,0,0.05,4,64,0.3822250783377021
mes,3,0,0.05,4,66,0.3821169288008105
mes,3,0,0.05,4,68,0.3820103456388843
mes,3,0,0.05,4,70,0.38190565764165324
bar,3,1,1.6,5,25,10.612759066392154
bar,3,1,1.6,5,27,10.621254379311909
bar,3,1,1.6,5,29,10.628513179369023
bar,3,1,1.6,5,31,10.634788382705754
bar,3,1,1.6,5,33,10.640273670495546
bar,3,1,1.6,5,35,10.645113413101722
bar,3,1,1.6,5,37,10.649415391324204
bar,3,1,1.6,5,39,10.65326633315835
bar,3,1,1.6,5,41,10.656735637876805
bar,3,1,1.6,5,43,10.659876841263225
bar,3,1,1.6,5,45,10.662735640930018
bar,3,1,1.6,5,47,10.665348855170627
bar,3,1,1.6,5,49,10.667747050378129
bar,3,1,1.6,5,51,10.669955829732753
bar,3,1,1.6,5,53,10.671997427023804
bar,3,1,1.6,5,55,10.673889799271894
bar,3,1,1.6,5,57,10.675649187038225
bar,3,1,1.6,5,59,10.677289110737789
bar,3,1,1.6,5,61,10.678821495045373
bar,3,1,1.6,5,63,10.680256514622464
bar,3,1,1.6,5,65,10.681603453721443
bar,3,1,1.6,5,67,10.682869988080629
bar,3,1,1.6,5,69,10.684063328793105
bar,3,1,1.6,5,71,10.685189576925307
bar,3,1,0.8,5,25,10.445055398019422
bar,3,1,0.8,5,27,10.446601843796893
bar,3,1,0.8,5,29,10.448209635525233
bar,3,1,0.8,5,31,10.449532144338985
bar,3,1,0.8,5,33,10.45087737620785
bar,3,1,0.8,5,35,10.452038985979256
bar,3,1,0.8,5,37,10.453195609101659
bar,3,1,0.8,5,39,10.454209220541113
